"product_name","category","colors_count","price"
"Nike Air Force 1 '07","Men's Shoes","2 Colours","Rp 1,549,000"
"Nike Air Force 1 '07","Men's Shoes","5 Colours","Rp 1,729,000"
"Nike Air Max AP","Men's Shoes","5 Colours","Rp 1,429,000"
"NikeCourt Legacy Next Nature","Men's Shoes","1 Colour","Rp 889,000"
"Nike Air Max 90","Men's Shoe","3 Colours","Rp 1,799,000"
"Nike Air Force 1 '07 EasyOn","Shoes","1 Colour","Rp 1,729,000"
"Nike Air Huarache Runner","Men's Shoes","3 Colours","Rp 2,199,000"
"Jordan Max Aura 5","Men's Shoes","2 Colours","Rp 2,099,000"
"Freak 5 EP","Basketball Shoes","1 Colour","Rp 1,939,000"
"Nike Air Max Plus III","Men's Shoes","1 Colour","Rp 2,989,000"
"Nike ACG Mountain Fly 2 Low","Men's Shoes","5 Colours","Rp 2,379,000"
"Nike Air Force 1 '07","Shoes","1 Colour","Rp 1,729,000"
"Nike Air Force 1 '07 LV8","Men's Shoes","2 Colours","Rp 1,909,000"
"Nike Waffle Debut SE","Men's shoes","2 Colours","Rp 1,149,000"
"Nike Metcon 9 AMP","Men's Training Shoes","1 Colour","Rp 2,199,000"
"Nike Air Trainer 1","Men's Shoes","1 Colour","Rp 2,099,000"
"Nike Air Huarache Runner","Men's Shoes","1 Colour","Rp 2,199,000"
"Nike Go FlyEase","Easy On/Off Shoes","3 Colours","Rp 2,059,000"
"Air Jordan 1 Retro High OG","Men's Shoes","4 Colours","Rp 2,418,000"
"Nike SB Force 58 Premium","Skate Shoe","2 Colours","Rp 1,169,000"
"Air Jordan 1 Low x Eastside Golf","Men's Shoes","1 Colour","Rp 2,059,000"
"Air Jordan 1 Low","Men's Shoes","2 Colours","Rp 1,729,000"
"Nike Dunk Low Retro SE","Men's Shoes","1 Colour","Rp 1,729,000"
"Air Jordan 11 Retro Low","Men's Shoes","1 Colour","Rp 3,049,000"
"Nike SB Force 58","Skate Shoe","2 Colours","Rp 1,099,000"
"Nike Air Force 1 Low By You","Custom Men's Shoes","8 Colours","Rp 1,909,000"
"Nike Dunk Low","Men's Shoes","1 Colour","Rp 1,909,000"
"Nike Air Presto","Men's Shoes","3 Colours","Rp 1,678,000"
"Nike Cortez","Men's Shoes","2 Colours","Rp 1,299,000"
"Nike P-6000","Shoe","1 Colour","Rp 1,429,000"
"Nike Dunk Low Retro Premium","Men's Shoes","1 Colour","Rp 1,729,000"
"Nike Air Force 1 '07 LX NBHD","Men's Shoes","3 Colours","Rp 2,099,000"
"Air Jordan 1 Low SE","Shoes","1 Colour","Rp 1,649,000"
"Nike Dunk Low SE","Men's Shoes","1 Colour","Rp 1,729,000"
"Nike Dunk Hi Retro","Men's Shoes","1 Colour","Rp 1,578,000"
"Nike Air Force 1 '07 Fresh","Men's Shoes","2 Colours","Rp 2,099,000"
"Nike Air Max 97 SE","Men's Shoes","2 Colours","Rp 1,988,000"
"Nike Air Max Pulse","Men's Shoes","5 Colours","Rp 2,379,000"
"Nike Air Force 1 Mid x Off-White ™","Men's Shoes","1 Colour","Rp 3,049,000"
"Nike Dunk Mid","Men's Shoes","2 Colours","Rp 1,859,000"
"Nike ACG Air Zoom Gaiadome GORE-TEX","Shoes","1 Colour","Rp 2,728,000"
"Nike Air Max 97","Men's Shoes","6 Colours","Rp 2,389,000"
"Nike Free Metcon 5","Men's Training Shoes","7 Colours","Rp 1,909,000"
"Nike SB Nyjah 3","Skate Shoes","1 Colour","Rp 1,048,000"
"Nike Zoom Vomero 5 SP","Men's Shoes","2 Colours","Rp 2,489,000"
"Nike Air Force 1 Low x Slam Jam","Men's Shoes","1 Colour","Rp 2,669,000"
"Nike Blazer Mid '77 Vintage","Men's Shoes","1 Colour","Rp 1,429,000"
"Nike SB Chron 2","Skate Shoe","3 Colours","Rp 999,000"
"Jordan Why Not .6 PF","Men's Shoes","2 Colours","Rp 2,379,000"
"Air Jordan 2 Retro Low Titan","Shoes","1 Colour","Rp 2,808,000"
"Nike Air Max 1 Premium","Men's Shoes","1 Colour","Rp 2,489,000"
"Nike Blazer Low '77 SE","Men's Shoes","1 Colour","Rp 1,499,000"
"Nike Air Force 1 '07 LV8 EMB","Shoes","1 Colour","Rp 1,618,000"
"Air Jordan I High G","Men's Golf Shoes","2 Colours","Rp 2,849,000"
"Nike Air Max LTD 3","Men's Shoe","1 Colour","Rp 1,899,000"
"Nike Air Force 1 React","Men's Shoes","1 Colour","Rp 2,249,000"
"Nike Elevate 3","Basketball Shoes","5 Colours","Rp 1,149,000"
"Air Jordan 1 Retro High OG Craft","Men's Shoes","1 Colour","Rp 2,849,000"
"Nike Invincible 3","Men's Road Running Shoes","5 Colours","Rp 2,849,000"
"Nike Air Max 90 G","Golf Shoes","2 Colours","Rp 2,099,000"
"Air Jordan 13 Retro","Men's Shoes","1 Colour","Rp 2,889,000"
"Nike Blazer Low '77 Jumbo","Men's Shoes","1 Colour","Rp 1,459,000"
"AJKO 1","Men's Shoes","2 Colours","Rp 2,199,000"
"Nike Air Force 1 '07 LV8","Men's Shoes","2 Colours","Rp 1,909,000"
"Air Jordan 7 Retro SE","Men's Shoes","1 Colour","Rp 2,238,000"
"Nike Dunk High Premium","Men's Shoes","1 Colour","Rp 2,129,000"
"Air Jordan 1 Zoom CMFT 2","Men's Shoes","3 Colours","Rp 2,249,000"
"Nike Air Max 1 Premium","Men's Shoes","1 Colour","Rp 2,489,000"
"Nike Air Max 97 SE","Men's Shoes","1 Colour","Rp 2,128,000"
"Nike Pegasus FlyEase SE","Men's Easy On/Off Road Running Shoes","1 Colour","Rp 1,909,000"
"Nike Vaporfly 3","Men's Road Racing Shoes","3 Colours","Rp 3,399,000"
"Zion 2 PF","Basketball Shoes","1 Colour","Rp 1,909,000"
"Air Jordan 1 Mid SE","Men's Shoes","1 Colour","Rp 2,129,000"
"Nike x Jacquemus Air Humara LX","Women's Shoes","1 Colour","Rp 2,669,000"
"Nike Mercurial Vapor 15 Academy","Indoor Court Football Shoes","1 Colour","Rp 1,279,000"
"Nike Zoom Mercurial Superfly 9 Academy XXV MG","Multi-Ground Football Boot","1 Colour","Rp 1,499,000"
"Nike Zoom Mercurial Vapor 15 Elite FG By You","Custom Firm-Ground Football Boot","3 Colours","Rp 4,369,000"
"Nike Air Max 95 By You","Custom Men's Shoe","4 Colours","Rp 3,119,000"
"Nike Zoom Mercurial Vapor 15 Elite XXV FG","Firm-Ground Football Boot","1 Colour","Rp 3,889,000"
"Nike Blazer Low '77","Men's Shoes","1 Colour","Rp 1,499,000"
"Nike SB Zoom Janoski OG+","Shoes","1 Colour","Rp 1,499,000"
"Jumpman Two Trey","Men's Shoes","6 Colours","Rp 2,329,000"
"NikeCourt Zoom Vapor Cage 4 Rafa","Men's Hard Court Tennis Shoes","3 Colours","Rp 2,279,000"
"Nike E-Series 1.0","Men's Shoes","5 Colours","Rp 1,549,000"
"Nike Air Force 1 Low Retro","Men's Shoes","2 Colours","Rp 2,379,000"
"Nike Air Trainer 1","Men's Shoes","1 Colour","Rp 1,909,000"
"Nike x MMW 005","Men's Slides","2 Colours","Rp 2,849,000"
"Nike Dunk High By You","Custom Men's Shoes","6 Colours","Rp 2,449,000"
"Nike In-Season TR 13","Men's Training Shoes","6 Colours","Rp 1,149,000"
"Nike Oneonta Next Nature","Men's Sandals","4 Colours","Rp 1,069,000"
"Nike Structure 24","Men's Road Running Shoes","2 Colours","Rp 1,799,000"
"Air Jordan 7 Retro","Men's Shoes","1 Colour","Rp 3,099,000"
"Nike Pegasus Turbo Next Nature SE","Men's Road Running Shoes","1 Colour","Rp 2,379,000"
"Nike Tanjun EasyOn","Men's shoes","4 Colours","Rp 1,029,000"
"Nike City Rep TR","Men's Training Shoes","3 Colours","Rp 799,000"
"Nike Zoom Mercurial Vapor 15 Academy XXV MG","Multi-Ground Football Boot","1 Colour","Rp 1,299,000"
"Nike SuperRep Go 3 Next Nature Flyknit","Men's Workout Shoes","5 Colours","Rp 1,499,000"
"Nike Phantom GX Academy MG By You","Custom Multi-Ground Football Boot","6 Colours","Rp 1,939,000"
"Nike Air Max 95 Unlocked By You","Custom Men's Shoes","6 Colours","Rp 3,249,000"
"Nike Air Max SYSTM","Men's Shoes","6 Colours","Rp 1,459,000"
"NikeCourt Legacy","Men's Shoes","4 Colours","Rp 1,029,000"
"Nike Offline 3.0","Mules","2 Colours","Rp 1,729,000"
"LeBron Witness 7 EP","Basketball Shoes","5 Colours","Rp 1,499,000"
"Nike Air Penny 2","Men's Shoes","1 Colour","Rp 2,688,000"
"Nike Gripknit Phantom GX Elite FG By You","Custom Football Boot","4 Colours","Rp 4,749,000"
"Nike Air Force 1 Mid '07","Men's Shoes","2 Colours","Rp 1,909,000"
"Nike Air Flight Huarache","Men's Shoes","1 Colour","Rp 2,129,000"
"Nike Fly.By Mid 3","Basketball Shoes","5 Colours","Rp 819,000"
"Nike Metcon 9 By You","Custom Men's Training Shoes","6 Colours","Rp 2,489,000"
"NikeCourt Air Zoom Lite 3","Men's Tennis Shoes","3 Colours","Rp 1,069,000"
"Nike Vomero 16","Men's Road Running Shoes","4 Colours","Rp 2,279,000"
"Nike Air VaporMax 2023 Flyknit","Men's Shoes","7 Colours","Rp 3,269,000"
"Jordan ADG 4","Men's Golf Shoes","4 Colours","Rp 2,889,000"
"Nike Air Alpha Force 88","Men's Shoes","1 Colour","Rp 2,099,000"
"Jordan Why Not .6 PF","Men's Shoes","3 Colours","Rp 2,018,000"
"Nike Zegama","Men's Trail-Running Shoes","4 Colours","Rp 2,329,000"
"Cosmic Unity 3","Basketball Shoes","1 Colour","Rp 2,489,000"
"Jordan Stadium 90","Men's Shoes","4 Colours","Rp 2,199,000"
"Nike Free Run 5.0","Men's Road Running Shoes","3 Colours","Rp 1,429,000"
"Nike Juniper Trail 2","Men's Trail-Running Shoes","5 Colours","Rp 1,149,000"
"NOCTA x Nike Hot Step Air Terra","Men's Shoes","1 Colour","Rp 2,849,000"
"Air Jordan 5 x DJ Khaled","Men's Shoes","1 Colour","Rp 2,808,000"
"Nike Air Max 90","Men's Shoes","6 Colours","Rp 1,869,000"
"Nike Air Max Solo","Men's Shoes","3 Colours","Rp 1,549,000"
"Nike Infinity Ace Next Nature","Golf Shoes","1 Colour","Rp 1,549,000"
"Nike Air Max 1 '87 By You","Custom Shoes","6 Colours","Rp 2,849,000"
"Nike Offcourt Adjust","Men's Slides","3 Colours","Rp 609,000"
"KD15 EP","Basketball Shoes","2 Colours","Rp 2,379,000"
"Nike Air Max Alpha Trainer 5","Men's Workout Shoes","5 Colours","Rp 1,249,000"
"Nike Kiger 9","Men's Trail-Running Shoes","2 Colours","Rp 2,199,000"
"Nike Gripknit Phantom GX Elite Dynamic Fit AG By You","Custom Football Boot","3 Colours","Rp 4,999,000"
"Air Jordan 5 Retro SE Craft","Men's Shoes","1 Colour","Rp 3,269,000"
"Nike Air Max TW","Men's Shoes","2 Colours","Rp 2,118,000"
"Nike Pegasus Trail 4 By You","Custom Men's Trail-Running Shoes","6 Colours","Rp 2,669,000"
"Jumpman MVP","Men's Shoes","1 Colour","Rp 2,629,000"
"Nike Internationalist By You","Custom Men's Shoe","6 Colours","Rp 1,729,000"
"Nike SB Force 58","Skate Shoes","2 Colours","Rp 1,149,000"
"Jordan Series ES","Men's Shoes","4 Colours","Rp 1,299,000"
"Nike Winflo 10","Men's Road Running Shoes","7 Colours","Rp 1,549,000"
"Nike SB Ishod Premium","Men's Shoes","1 Colour","Rp 1,729,000"
"Nike Dunk Low Unlocked By You","Custom Shoes","8 Colours","Rp 2,379,000"
"Nike Air Zoom Victory Tour 3 NRG","Men's Golf Shoe (Wide)","1 Colour","Rp 3,169,000"
"Jordan Stay Loyal 2","Men's Shoes","5 Colours","Rp 1,819,000"
"Nike Air Force 1 Mid By You","Men's Custom Shoes","6 Colours","Rp 2,199,000"
